region_code,region_name,city_code,city_name,street_code,street_name,street_name_status,official_code
31,חיפה,4000,חיפה,101,כברי,official,101
31,חיפה,4000,חיפה,102,רח סא,official,102
31,חיפה,4000,חיפה,9521,רח סא ק חיים,synonym of 102,102
31,חיפה,4000,חיפה,103,בן עמי,official,103
31,חיפה,4000,חיפה,104,רח סג,official,104
31,חיפה,4000,חיפה,9522,רח סג ק חיים,synonym of 104,104
31,חיפה,4000,חיפה,105,הקונגרס,official,105
31,חיפה,4000,חיפה,9523,רח סד ק חיים,synonym of 105,105
31,חיפה,4000,חיפה,9524,רח סד,synonym of 105,105
31,חיפה,4000,חיפה,106,רח סה,official,106
31,חיפה,4000,חיפה,9525,רח סה ק חיים,synonym of 106,106
31,חיפה,4000,חיפה,107,חרב לאת,official,107
31,חיפה,4000,חיפה,9526,הרב לאת,synonym of 107,107
31,חיפה,4000,חיפה,9527,רח צו ק חיי,synonym of 107,107
31,חיפה,4000,חיפה,9528,רח סו ק חיים,synonym of 107,107
31,חיפה,4000,חיפה,9529,רח סו,synonym of 107,107
31,חיפה,4000,חיפה,108,רח סז,official,108
31,חיפה,4000,חיפה,9530,רח סז ק חיים,synonym of 108,108
31,חיפה,4000,חיפה,109,שדה בוקר,official,109
31,חיפה,4000,חיפה,9531,שדה בקר,synonym of 109,109
31,חיפה,4000,חיפה,9532,רח סח,synonym of 109,109
31,חיפה,4000,חיפה,9533,רח סח ק חיים,synonym of 109,109
31,חיפה,4000,חיפה,110,שד דגניה,official,110
31,חיפה,4000,חיפה,9534,רח לג ק חיי,synonym of 110,110
31,חיפה,4000,חיפה,9535,רח עג,synonym of 110,110
31,חיפה,4000,חיפה,9536,דגנית שד,synonym of 110,110
31,חיפה,4000,חיפה,9537,דגנית שדרות,synonym of 110,110
31,חיפה,4000,חיפה,9538,ק חיים רח עג,synonym of 110,110
31,חיפה,4000,חיפה,9539,שדרות דגנית,synonym of 110,110
31,חיפה,4000,חיפה,9540,דגניה שד,synonym of 110,110
31,חיפה,4000,חיפה,9541,רח עג ק חיים,synonym of 110,110
31,חיפה,4000,חיפה,9542,דגניה,synonym of 110,110
31,חיפה,4000,חיפה,9543,שד דגנית,synonym of 110,110
31,חיפה,4000,חיפה,9544,דגניה שדרות,synonym of 110,110
31,חיפה,4000,חיפה,9545,שדרות דגניה,synonym of 110,110
31,חיפה,4000,חיפה,111,אברבנאל,official,111
31,חיפה,4000,חיפה,9546,רח עב,synonym of 111,111
31,חיפה,4000,חיפה,9547,רח עבק חיים,synonym of 111,111
31,חיפה,4000,חיפה,9548,רח עב ק חיים,synonym of 111,111
31,חיפה,4000,חיפה,9549,ק חיים רח עב,synonym of 111,111
31,חיפה,4000,חיפה,112,רח נט,official,112
31,חיפה,4000,חיפה,9550,רח נט ק חיים,synonym of 112,112
31,חיפה,4000,חיפה,113,"כ""ץ יעקב הרב",official,113
31,חיפה,4000,חיפה,9551,כץ יעקב,synonym of 113,113
31,חיפה,4000,חיפה,9552,יעקב כץ,synonym of 113,113
31,חיפה,4000,חיפה,9553,כץ,synonym of 113,113
31,חיפה,4000,חיפה,9554,"כ""ץ יעקב",synonym of 113,113
31,חיפה,4000,חיפה,114,ישראלי בן ציון,official,114
